,Fase 0 - Génesis Estructural,,,,,,,,,,,
#,Ente,Clave,Estado evolutivo,Propósito operativo,Objetivos clave,Dependencias / Entradas,Salidas / Artefactos,Interacción intersistémica,Métricas y Gates,Owner,Comentarios ,
,Sistema Chrono,SY-CHR,F0 — Fetal,"Establecer el reloj maestro del organismo digital, definiendo los ciclos de acción, descanso y aprendizaje.",• Alinear reloj interno con NTP/UTC.• Validar skew y drift.• Activar primer control de ventanas operativas.• Crear registro cronológico base.,"Entradas: métricas NTP/UTC, skew y drift, feedback endocrino.","chrono_metrics.json, window_map.yaml, logs de ciclo base.","Interactúa con FR-CON (Homeostasis), FR-MIOI (autoobservación basal) y SY-END (ajuste hormonal).",SCI ≥ 0.9 · drift ≤ umbral · sincronización estable.,Chronos (Agente de Sincronía Global),Añadir hash de sincronía inicial a FR-FIL; vincular chrono_state.yml como registro filogenético.,
,Chrono Arbiter,SY-CHR.CA,F0 — Fetal,Proteger la coherencia temporal durante el arranque del sistema evitando inversiones de prioridad.,"• Establecer jerarquía temporal inicial entre EEI, GEN y EEE.• Verificar coherencia de prioridades.• Garantizar colas sin bloqueo.","Entradas: métricas SCI/MIC, colas internas y eventos de sistema.","arbiter_config.yml, priority_queue.log, latency_baseline.json.",Sincroniza con SY-CHR y PO-LOG (pruebas de estabilidad temporal).,p95 < 150 ms · SCI ≥ 0.9 · 0 pérdidas críticas.,Chrono Arbiter,Incorporar registro causal_chain_id; documentar baseline de prioridad en FR-FIL.,
,Chrono Tolerancias,SY-CHR.CA.TOL,F0 — Fetal,Definir bandas iniciales de tolerancia temporal y calibrar el rango seguro del Chrono Arbiter.,• Generar tolerance_policy.yml.• Calcular índices TI base.• Verificar coherencia con SLA.,"Entradas: métricas de latencia simulada, drift del sistema.","tolerance_policy.yml, tol_events.log.",Comunica con SY-CHR.SLA (umbrales) y FR-CON (Constantes).,TI ≤ 0.05 · SCI ≥ 0.9.,Custodio de Tolerancias,Guardar snapshot en FR-FIL; preparar tolerance_version_id.,
,Chrono SLA,SY-CHR.SLA,F0 — Fetal,Establecer presupuesto de latencia y mapa SLA inicial del organismo.,• Definir thresholds de latencia para cada subsistema.• Registrar budget inicial.• Validar coherencia con reloj maestro.,"Entradas: mediciones de tiempo NTP/UTC, drift y SCI.","latency_budget.yml, sla_tree.yml, latency_audit.log.",Interacción con SY-CHR (referencia temporal) y SY-CHR.CA.TOL (bandas).,SLA ≥ 95 % · p95/p99 dentro de rango.,Scheduler Auditor,Versionar sla_version_id y vincularlo con endo_version_id.,
,Sistema Nervioso,SY-NRV,F0 — Fetal,"Establecer el circuito nervioso mínimo para recibir señales, interpretarlas y producir reflejos seguros en entorno controlado.","• Topología pub/sub mínima sobre el bus.• Mapa neuronal inicial (R, L, N) y rutas básicas.• Reflejos sintéticos hacia músculo con bloqueo seguro.• Registro de latencia base y SCI local.","Entradas: señales sensoriales sintéticas, heartbeat/estado de SY-CRD, reloj SY-CHR, estado endocrino base (si existe). Salidas: eventos decision.reflex, métricas p95/p99 y SCI local. Canal: bus interno de SY-CRD + CTU (propuesto) para telemetría.","neuro_map.yml (mínimo), neuro_log.ndjson, neuro_reflex.report.","Coordina con SY-CHR (ventanas y tiempo), SY-CRD (transporte), SY-END (tono/bias), SY-MSC (reflejos).",SCI local ≥ 0.90 · p95/p99 < presupuesto F0 del SY-CHR.SLA · 0 pérdidas críticas de reflejo.,Neuro Manager,Inicializar neuro_map.yml solo con rutas esenciales; publicar neuro_map.digest en PO-LOG (hash) por build; anclar latencia base al latency_budget.yml de SY-CHR.SLA para coherencia temprana.,
,Sistema Inmunológico,SY-IMM,F0 — Fase Fetal,Génesis inmunológica básica.,1. Definir políticas de deny-by-default.2. Crear catálogo inicial de señales confiables.3. Registrar primer ledger de defensa (imm_boot.yml).,SY-CHR (ventanas válidas); FR-CON (constantes C6-C7); PO-EEI.UQAT (gates éticos).,"imm_boot.yml, seed_catalog.yml, quarantine_init.log.",QA-ÉTICO (revisión ética de estímulos). FR-FIL (registro filogenético inicial).,"SCI ≥ 0.85; FP ≤ 3 %; consistencia hash ≥ 99 %. Gate: catálogo inicial validado y firmado por AVE.
TTL_hours ≤ 72; firma digital SHA-256; OPA compliance ≥ 95 %.",Agente AVE (Defensa Ética) + Immune Manager.,Primer esquema de defensa lógica. No se activan acciones automáticas; solo detección pasiva y logging.,
,Sistema Reproductor Evolutivo,SY-REP,F0 — Fetal (Germen genético),Establecer la estructura del ADN digital del organismo y definir las bases de su herencia.,• Diseñar el esquema inicial del genoma (genome.yml).• Crear estructura hereditaria y “cordón umbilical” con IA externa o coach humano.• Activar control de versiones (Git) y linaje genético inicial.• Formalizar “ética del cambio” como principio rector.,"SY-IMM (validación ética), SY-CHR (sincronía temporal), FR-FIL (registro filogenético), PO-GEN (gobernanza genómica).","genome.yml, umbilical_bridge.yml, heredity_policy.yml, rep_lineage.hash, proposal_runner.log.",Se sincroniza con SY-IMM para autorización de mutaciones y con PO-GEN para definición de herencia; Chrono regula intervalos de activación (manual/programado).,✅ genome.yml versionado y firmado.✅ Umbral de trazabilidad ≥ 99 %.✅ Hash genético anclado en FR-FIL.SCI ≥ 0.9.,Evolution Manager + QA-ÉTICO,IM-REP-001: Declarar genome.yml como contrato genético único y trazable.IM-REP-002: Crear ledger genético rep_lineage.hash y vincularlo a FR-FIL.IM-REP-003: Establecer puente umbilical (umbilical_bridge.yml) para genes externos.,
,Memoria Evolutiva,SY-REP.MEM,F0 — Fetal (Registro Génesis),"Definir el ledger de herencia digital del bot: un espacio estructural para registrar genes iniciales, versiones y ascendencia bajo supervisión humana.","• Establecer mem_trace.yml como registro universal de herencia.• Crear heredity_index.json para identificar elementos heredables (params, estructuras, políticas).• Establecer contrato inicial con SY-IMM para validación ética de cada mutación inicial.• Definir esquema de sincronización con FR-FIL (filogenia).","In: gene_proposal.json, rep_lineage.hash, imm_events.ndjson.Depende de: SY-REP, SY-IMM, FR-FIL.","Out: mem_trace.yml, heredity_index.json, audit_lineage.json.
rep_digest.ndjson; causal_chain_map.yml; verification_report.log.",SY-IMM (firma ética); FR-FIL (linaje filogenético); SY-REP (propuestas genéticas).,✅ SCI ≥ 0.9.✅ Hash coherente ≥ 99 %.,Evolution Memory Keeper + QA-ÉTICO,IM-MEM-001: mem_trace.yml debe ser ledger append-only firmado por QA-ÉTICO.IM-MEM-002: audit_lineage.json actúa como prueba verificable entre SY-REP y SY-IMM.,
,Memoria Central,SY-NSC.MEM,F0 — Fetal (Registros mínimos),Dejar rastro reproducible de la experiencia operativa inicial.,"• Generar logs estructurados de decisiones y resultados.• Guardar artefactos mínimos (exec_report, effects).• Crear esquema de retención mínima en artifacts/.","In: señales del sistema muscular (exec_report), digestivo (features_batch).Dep: SY-CHR (tiempo), SY-CRD (flujo), PO-LOG (observabilidad).","Out: memory_log.json, artifacts/, sim_trace.csv.",Coordina con PO-LOG (logging base) y SY-CHR (ventanas válidas).,✅ Artefactos generados y legibles.✅ Reproducibilidad simple.,Memory Seeder + QA-BÁSICO,Revisar con IM si el hash temporal de los primeros registros debe anclarse en FR-FIL. Evaluar formato append-only para trazabilidad inicial.,
,Sistema Muscular,SY-MSC,F0 — Fetal (Reflejos sintéticos),Validar el ciclo señal → orden → resultado en entorno controlado.,• Simulador mínimo de órdenes (mock executor).• Medición base de latencia y respuesta.• Coherencia de resultados simulados.,"In: señales del SY-NRV, reloj de SY-CHR.Dep: entorno simulado, logger.","order_mock.log, latency_test.csv, exec_report.json","SY-NRV (órdenes reflejas), SY-CHR (ventanas), SY-END (tono de activación).",✅ órdenes simuladas y reproducibles.✅ p95 latencia < 200 ms.✅ coherencia entre orden y resultado.,Motion Tester,Confirmar logging temporal anclado al latency_budget.yml de SY-CHR.,
,Sistema Digestivo [Digestive System],SY-DIG,F0 — Fetal (Cocina mínima sobre histórico),Generar datasets reproducibles y limpios para simulación y QA base.,• Loader histórico determinista (OHLCV).• Normalización UTC y chequeo de integridad (NaN/gaps).,"market_io (histórico BTC/USD), snapshots simulados.","clean_dataset.parquet, integrity_report.json, etl_log.txt.",SY-CHR (sincronía temporal).SY-CRD (transporte de snapshots).,✅ Dataset reproducible.✅ Integridad ≥ 99 %.✅ Sin huecos sin justificar.,Data Seeder / ETL Init,Confirmar compatibilidad con FR-FIL y reproducibilidad determinista.,
,Sistema Respiratorio,SY-RSP,F0 — Fetal (Respiración embrionaria simulada),Probar el ciclo mínimo de inhalación–procesamiento–exhalación en entorno controlado.,• Emitir eventos a ritmo fijo (“ticker”).• Gestionar buffer con drop policy controlada.• Enviar heartbeat/backpressure con logger activo.,"In: señales WS/REST sintéticas, cron/loop. Dep: SY-CHR (ventanas válidas).","Out: resp_status.json, heartbeat.log, resp_policy.yml.","Coordina con SY-DIG (datos), SY-CRD (flujo), SY-END (ritmo interno).",✅ Ritmo estable ≤ umbral · sin bloqueos en 72 h · backpressure operativo.,Respiratory Manager,Fase necesaria para probar homeostasis respiratoria en entornos cerrados y establecer las bases para QoS posterior.,
,Cerebro Reptiliano,SY-NSC.R,F0 - Fetal,Instinto vital,Garantizar supervivencia básica; evitar corrupción inicial del entorno.,Entradas del entorno y QA sintáctico.,"kill_switch.py, watchdog.log.","SY-CHR (tiempo base), SY-IMM (seguridad).",✅ kill-switch operativo · ✅ watchdog activo · ✅ sin procesos zombies.,TMH,Base de seguridad y permisos mínimos.,
,Cerebro Límbico,SY-NSC.L,F0 - Fetal,Estado emocional nulo,Mantener límites de riesgo fijos sin respuesta emocional.,config.yaml (parámetros base).,risk_static.json,"SY-CHR (tiempo), SY-NSC.R (instinto).",✅ límites definidos · ✅ sin reacciones dinámicas,TMH,Punto de arranque estable; evita ruido afectivo durante entrenamiento inicial.,
,Submódulo de Dolor,SY-NSC.L.PAI,F0 — Fetal,Nocicepción básica,Detectar fallos críticos y registrar eventos dolorosos con trazabilidad.,"qa_logs, timeout_reports, chrono_trace","pain_log.ndjson, error_flags.json","SY-CHR, SY-IMM, SY-NSC.R",✅ detección ≥ 95 % de fallos críticos · ✅ recuperación sin intervención,QA-BÁSICO,Establece la sensibilidad inicial; define umbrales de tolerancia.,
,Neocórtex,SY-NSC.N,F0 — Fetal,Definir el marco cognitivo y el esqueleto de inferencia/explicación.,Esquemas I/O de señales; placeholder de inferencia; contrato de explicación mínimo.,"features_stub, signal_stream sintético; ventanas de SY-CHR; baseline de SY-DIG.","dummy_predictor.py, rationales_stub.ndjson, model_card.yml (borrador).",Sincroniza tiempo con SY-CHR; registra artefactos en SY-NSC.MEM; observabilidad en PO-LOG.,Placeholder estable; coherencia señal→resultado; logging determinista.,Cortex Manager,Definir campos mínimos de model_card.yml y explain_contract.yml; anclar hashes a MEM.,
,Sistema Sensorial Integrado,SY-SEN,F0 - Fetal,Iniciar la percepción básica del entorno digital y definir los canales sensoriales primarios.,"Crear interfaces mínimas de entrada (logs, métricas, eventos); definir mapa sensorial embrionario; codificar estímulos base con timestamp; sincronizar con Chrono.","Chrono embryonic module, Observabilidad inicial.","raw_sensory_log, stimulus_map.yml.",Nervioso central (para canalizar eventos) y Chrono (tiempo).,Detección ≥ 95 %; coherencia temporal 100 %.,PO-EEE,Fase de configuración básica del marco perceptual.,
,Sistema Vestibular Digital,SY-SEN.VES,F0 — Fetal,Establecer el eje gravitacional inicial y las métricas básicas de estabilidad.,Definir centro de gravedad lógico; configurar monitores de drift y sincronía; fijar límites de oscilación.,"CI/CD embrionario, Chrono primario, Logger estructural.","stability_baseline.yml, drift_monitor.log.","Chrono, Nervioso.",Repositorio estable ≥ 48 h; desviación < 10 %.,PO-EEE,Núcleo de equilibrio embrionario.,
,Sistema de Lenguaje Interno,SY-LAN,F0 — Fetal: Génesis simbólica,Dar nacimiento al marco lógico-lingüístico primario del organismo digital.,"• Definir formato de representación simbólica (tokens, embeddings).• Implementar proto-lenguaje técnico entre módulos.• Crear diccionario embrionario de conceptos base.• Sincronizar mensajes con Chrono.","Logger (estructura de mensajes), Chrono básico, QA sintáctico, Nervioso.","language_contract.yml, lexicon.yml, syntax_rules.json, discourse_log.ndjson (estructura inicial).",Enlace con SY-NS (tráfico de mensajes) y SY-CHR (tiempo).,✅ 100 % mensajes legibles.✅ Diccionario base definido.✅ Comunicación intersistémica activa.,Linguistic Integrator,Activa el lenguaje como “sistema de logs comprensibles” del organismo.,
,Sistema de Lenguaje Interno – Comunicación Externa,SY-LAN.COM,F0 — Fetal,"Esqueleto de comunicación: contratos y canal mínimo, sin exposición pública",Definir com_protocol.yml; establecer redaction_rules.yml; bitácora dialogue_log.ndjson,"Rationales internos (SY-LAN), ts de SY-CHR",Mensaje sintético “hello” firmable; logs básicos,"SY-LAN (formato), SY-CHR (timestamps)",✅ contratos versionados; ✅ 100% mensajes válidos; p95 parse ≤200 ms,Linguistic Integrator,Sin emisiones públicas; sólo sandbox,
