Ente,Clave,Tipo,Padre / Dominio,Depende de,FaseInicio,Contratos I/O (resumen),SLO/SLA clave,Artefactos de evidencia,Rollback / Freeze,Owner,Sugerencias de ajuste /mejora,Anotaciones IM,Validados IM
Sistema Chrono [Chrono System],SY-CHR,Sistema,Grupo 2.3 “Control y Ritmo – Neuro-Endócrino-Chrono”,FR-CON (C6 Sincronía temporal; C1 Homeostasis; C3 Trazabilidad); SY-END; PO-CICD; PO-LOG; PO-GEN; FR-MIOI,F0,Sincroniza ritmos y ventanas de acción/descanso/aprendizaje; coordina SCI/MIC y la sincronización EDL/RLM en el organismo.,EDL ≤ 1 s; RLM ≤ 500 ms; SCI ≥ 0.9; Cumplimiento de ventanas = 100%; Conflictos de agenda = 0; skew histórico ≤ umbral,chrono_metrics.json; latency_budget.yml; chrono_cycle.log; window_map.yaml; historial de alarmas/rollback en /logs/chrono/,"Freeze si SCI < 0.85 (3 strikes) o drift > X ms; rollback temporal ante inversión de prioridad detectada por CA; restaurar backup chrono_state.yml

Ledger de rollback append-only con timestamps NTP/UTC y firma criptográfica; publicación diaria de Merkle root a FR-FIL",Agente de Sincronía Global (Chronos) + sub-agente SY-CHR.CA (Árbitro temporal),"Integrar exportación directa a PO-LOG para auditoría automática de desviación temporal; vincular explícitamente SY-END como co-agente; promover SY-CHR.CA.TOL a submódulo formal; añadir chrono_state.yml como registro histórico universal; reportar parámetros temporal-éticos a FR-FIL (lineage temporal hashes).

Compartición de sla_version_id con SY-CRD; hash conjunto energy_block.digest para trazabilidad común.",IM-CHR-002: “Ledger de rollback append-only con timestamps NTP/UTC y firma criptográfica; publicar Merkle root diario a FR-FIL.”,VERDADERO
Submódulo Chrono Arbiter [Arbitraje Temporal y Prioridades],SY-CHR.CA,Submódulo,SY-CHR,"SY-END; SY-CHR.SLA; PO-GEN; PO-EEI; PO-EEE; PO-LOG; FR-CON (C6 Sincronía)
PO-EEE.CHK (gobernanza normativa), PO-EEI.AUD (coherencia GEN–EEE–MIOI), y EthicalScore (PO-EEI.ETSC)",F0,"Arbitra colas, prioridades y límites de tiempo entre EEI (P0), GEN (P1) y EEE (P2); protege contra priority inversion/starvation; aplica preempción/degradación/safe-deny según umbrales.",EEI ≤ 50 ms; GEN ≤ 150 ms; EDL ≤ 1 s; RLM ≤ 500 ms,"arbiter_config.yml; ca_metrics.json; queue_depth.csv; latency_stats.json; priority_queue.log
chronological_clearance.log y cooldown_events.csv  artefactos oficiales publicados hacia PO-EEE.CHK / PO-EEE.",Rollback por prioridad con rollback_signature y causal_chain_id en ledger; freeze de promociones y drenaje de colas bajo sobrecarga,Chrono Arbiter (Árbitro Temporal),Homogeneizar prefijos SY-CHR.CA.*; formalizar CTU como canal común; declarar dependencia explícita de SY-CHR.SLA y SY-CHR.CA.TOL; documentar endo_version_id y tolerance_version_id cruzados.,"Además de EDL/RLM/SCI, agregar Conflict Resolution Latency (CRL) ≤ 2 s y Governance Drift Index (GDI) como señales que, si están en rojo por PO-EEE.CHK, autorizan a Chrono a forzar freeze.",VERDADERO
Tolerancias del Arbiter [Política de Tolerancias],SY-CHR.CA.TOL,Submódulo,SY-CHR.CA,FR-CON (constantes/umbrales); SY-CHR.SLA (señales de SLA),F1,"Define y aplica políticas de tolerancia temporal (bandas, backoff, sampling) para GEN/EEE; emite/consume tolerance_signal estandarizado y coordina con SLA.",Cumplimiento de política ≥ 99% (bandas de tolerancia activas); TI (Tolerance Index) ≤ 0.05 (propuesto); backoff efectivo en 3-strikes,tolerance_policy.yml; tolerance_signal.json; tol_events.log,Backoff gradual y freeze por 3-strikes; rollback de ventanas no críticas bajo incumplimiento persistente,Policy Custodian (Chrono TOL),"Normalizar TI =
Alinear TI con latency_budget.yml; registrar tolerance_signal y eventos soft/medium/hard en tol_events.log.",(hereda del SLA/Chrono): “Mantener coherencia TI↔SLA: TI calculado contra latency_budget.yml; registrar eventos de tolerancia (soft/medium/hard).,VERDADERO
SLA & Latencia Chrono [Supervisión de umbrales],SY-CHR.SLA,Submódulo,SY-CHR,SY-CHR.CA.TOL; PO-LOG; PO-CAN,F0,Monitorea/valida cumplimiento de latencias y derivados (DTM/RLM/EDL) por tramo/pipeline; publica latency_budget y árbol de SLA; ordena degradación a modo seguro.,p95/p99 por tramo; DTM/RLM/EDL según fase; SLA target ≥ 95%,"latency_budget.yml; sla_tree.yml; latency_audit.log
",Degradación a safe-mode ante breach; freeze de ventanas hasta recuperación de SLA,Scheduler Auditor,"Sincronizar sla_version_id ↔ endo_version_id; documentar tolerance_version_id en TOL; PO-LOG solo como “sink” (evitar doble fuente de métricas).
Estandarizar latency_budget.yml (RLM/EDL/SCI) y documentar blackout windows en sla_tree.yml con política de degrade/pause.","IM-CHR-001: “Estandarizar latency_budget.yml como contrato único de latencias (RLM/EDL/SCI) y anclarlo al sla_tree.yml.”

IM-CHR-003: “Registrar blackout windows en sla_tree.yml con política declarativa de degrade/pause y reanudación condicionada.”",VERDADERO
Sistema Endócrino [Endocrine System],SY-END,Sistema,Grupo 2.3 “Control y Ritmo – Neuro-Endócrino-Chrono”,"SY-CHR; QA-ÉTICO; PO-GEN; FR-CON (C2 Adaptabilidad; C3 Homeostasis); FR-FIL (memoria ética)
alignment_score.ndjson (read-only, vía ethical_feedback_id).",F1,"Modula variables hormonales (riesgo, agresividad, paciencia, exploración) sin alterar código; ajusta estados internos según contexto y desempeño ético.
IN: estado endocrino actual, métricas hormonales, carga energética.
OUT: endo_version_id, hormonal_state[risk,patience,focus], coherence_score, exportados a PO-GEN.RPL y al gate de PR-PIG antes de mutación genética.","Variación suave sin serrucho; violaciones de límites = 0; Hormone Drift ≤ umbral; Stability Index ≥ meta
Variación hormonal diaria ≤ ±2% (max_daily_variation) por modo.
Hormonal Drift ≤ 2 %.
Hormonal–Genomic Coherence ≥ 0.98 entre endo_version_id y genome_commit_id.
Rechazar mutación si incoherencia hormonal > 2 %.","endocrine_state.yml; hormone_profile.yml; endo_metrics.json; ethical_feedback.log; regimen_policies.yml; cooldown_events.csv; dashboards /reports/endo/
endocrine_changelog.ndjson
endo_compat.yml
hormone_profile (incluye endo_version_id, linked_genome_commit, aesthetic_origin, hormonal_state[risk,patience,focus], coherence_score),
genome_commit.log (referencia cruzada endo_version_id ↔ genome_commit_id),
trazas de PR-PIG (previa a mutación).
añadir endocrine_state.yml.","Freeze ante sobre-reacción; rollback ético bajo QA-Ético (solo eventos HARD); smoothing automático y cooldowns
Freeze evolutivo si coherence_score < umbral o si PR-PIG detecta desalineación endocrina antes de commit genético.",Agente Endocrino (E-Manager),"Formalizar canal CTU compartido con Chrono; agregar endo_version_id; homogeneizar prefijos SY-END.*; vincular ethical_feedback con FR-FIL; documentar relación con PO-LOG sink.
Declarar endo_version_id como input obligatorio de PO-GEN.RPL en cada genome_commit_id.
Incluir hormonal_state y coherence_score en la firma de cada commit genético.
PR-PIG debe auditar coherencia endocrina antes de autorizar mutaciones.","IM-END-001: “hormone_profile.yml como artefacto normativo con half_life_hours por hormona.”
IM-END-002: “endocrine_changelog.ndjson (append-only) para trazabilidad.”
IM-END-003: “endo_compat.yml con versionado cruzado (sla_version_id, tolerance_version_id).”
IM-END-004: “Normalizar ‘ethical feedback’ como señal escalar 0–1 (PO-EEI.ETSC) mapeada a hormonas vía LUT.”
IM-END-005: “Variación diaria máxima ±2% (max_daily_variation) por modo (sim/paper/live).”OM-02 aplicado: acople ético-endocrino activo (bindings con ethical_feedback_id), RECOVERY_RATE ≥ 0.9 gatillado por global_coherence ≥ 0.95 (p95, 24 h).”",VERDADERO
Sistema Cardiovascular [Cardiovascular System],SY-CRD,Sistema,Grupo 2.2 “Transporte y Flujo Operativo”,"SY-CHR; SY-END; PO-CICD; PO-LOG; FR-CON (C4 Integridad de datos)
FR-CON (C1, C6, C7, C9), SY-CHR, SY-END, AG-CAR, PO-LOG.",F0,"Transporta señales, métricas y energía operativa por todo el organismo; gestiona colas, latencia y prioridad; garantiza entrega íntegra y jerarquía de QoS.
Bus con QoS por clase de tópico; reporte p95/p99 por tópico alineado a latency_budget.yml","Latencia p95 < umbral; pérdida crítica = 0; MTTR ≤ T; entrega ≥ 99.9%
Flujo energético estable: 0.95–1.05

Sincronía temporal: ≤ ±50 ms (Chrono)

Ethical Clearance ≥ 0.90","eventbus_config.yml; metrics_bus.log; latency_report.json; traffic_audit.log; topology_map.yml
constants.yml (C1,C6,C7,C9), dependency_matrix.yml, coherence_assertions.ndjson, cardio_qos.log, chronological_clearance.log.","Freeze de tópicos no críticos; rollback selectivo de colas o rutas; recuperación por rehydration bajo estrés
freeze si ENERGY_FLOW_BALANCE_RATIO se desvía >5%, o se incumple SYNCHRONY_WINDOW_MS, o Ethical Clearance < 0.90; registrar en cooldown_events.csv.",Coordinador de Transporte (Cardio Manager),"Documentar CTU ↔ MET_BUS; definir prioridad endocrina (risk_level) en ruteo; estandarizar formato /logs/transport/YYYYMMDD.log; agregar bus_version_id; QA de integridad bajo FR-FIL lineage.
Publicar {topic, p95_ms, p99_ms, window} a PO-LOG; headers con ttl_ms para evitar residuos.
Referenciar CTU para publicación de digests y auditoría

Sincronizado con SY-CHR mediante sla_version_id. Registros de flujo auditados bajo FR-FIL/energy_block.digest.

governance_policy_ref: LoadEqualizationPolicy, ChronoArbiterWindow, EthicalGovernanceAudit.","IM-CRD-001: “QoS por clase de tópico (telemetry < data_ingest < model_io < decision < execution)
IM-CRD-002: “Persistencia mínima por topic con rotación temporal (ring buffer).
IM-CRD-003: “Reportar p95/p99 por clase al monitor de SY-CHR y validar contra latency_budget.yml
IM-CRD-004: “Incluir ttl_ms obligatorio en headers de mensajes para evitar residuos.
",VERDADERO
Sistema Nervioso,SY-NRV,Sistema,SY-ORG (Organismo Digital),"SY-CHR, SY-CRD, SY-END, SY-MSC",F1,"Entradas: señales sensoriales, métricas del bus, estado endocrino y reloj Chrono.Salidas: órdenes priorizadas al SY-MSC, métricas de latencia y SCI local.",SCI ≥ 0.9 · p95/p99 < SLA definido por SY-CHR.SLA · coherencia interlóbulo ≥ 95 %.,neuro_map.yml · neuro_log.ndjson · neuro_feedback.json,hash neuro_map.digest publicado en PO-LOG cada refresh,Neuro Manager,"Estandarizar neuro_map.yml con actualización periódica (cron y on-event).Implementar topología pub/sub jerárquica R-L-N sobre el bus SY-CRD.Publicar métricas p95/p99 y SCI local hacia SY-CHR para feedback temporal.
Referenciar CTU para publicación de digests y auditoría","IM-NRV-001: Topología pub/sub sobre bus de SY-CRD con threadpool por lóbulo (R, L, N).IM-NRV-002: neuro_map.yml con refresh cada 5 min o on-event (schema_change, sla_update).IM-NRV-003: Coordinar señales con SY-CRD bajo latencia compartida; publicar p95/p99 y SCI local; si SCI < umbral → reflejos (SY-MSC).IM-NRV-004: Publicar hash (neuro_map.digest) en PO-LOG para detectar drift neuronal.",VERDADERO
Sistema Inmunológico,SY-IMM,Sistema,Grupo 2.4 “Defensa y Frontera — Escudo-Identidad”,"SY-CHR, SY-END, QA-ÉTICO, FR-CON (C7 Ética del propósito, C6 Sincronía), FR-FIL (memoria filogenética), PO-EEI (UQAT), PO-EEE (ética operativa)",F2,Evalúa señales y artefactos antes de su promoción; aplica políticas deny-by-default y listas blancas/negras firmadas; comunica incidentes y cuarentenas a SY-LYM y SY-REP.MEM.,Cumplimiento ≥ 99 % en políticas; falsos positivos ≤ 1 %; SCI ≥ 0.9 durante operación; p95 retest < 200 ms,"imm_policy.yml (OPA-like con ttl_hours, signature_id, y contexto SLA), whitelist.yml, blacklist.yml, catalog.yml, imm_decision.log, quarantine_events.ndjson, override_signature.yml, catalog_digest.hash",Freeze ante incumplimiento > 3 strikes o drift ético detectado; rollback automático hacia snapshot previo (imm_state.yml) y notificación a FR-FIL,Agente de Defensa Ética (AVE) + Immune Manager," Formalizar imm_policy.yml bajo esquema OPA-like.- Integrar firmas SHA256 con ttl y contexto de SLA.- Consolidar catalog.yml y blacklist.yml en catalog_digest.hash firmado.- Coordinar escalamiento con QA-ÉTICO y PO-EEE bajo canal CTU.- Sincronizar métricas con FR-FIL y reportar digest en PO-LOG.
Formalizar política imm_policy.yml bajo esquema OPA-like; incluir TTLs (ttl_hours) y firmas digitales; sincronizar con catalog_digest.hash firmado
",IM-IMM-001: Establecer imm_policy.yml como contrato de defensa universal (deny-by-default) con política OPA-like.IM-IMM-002: Incorporar firma digital y tiempo-vida (ttl_hours) en listas blancas y negras; validar integridad mediante catalog_digest.hash.IM-IMM-003: Definir protocolo de escalamiento ante falsos positivos coordinado con AVE y QA-ÉTICO (prioridad P1).IM-IMM-004: Publicar catalog_digest.hash diario en PO-LOG y FR-FIL para detectar drift ético.,VERDADERO
Sistema Reproductor [Reproductive System],SY-REP,Sistema,Grupo 2.5 “Evolución y Herencia Controlada”,SY-IMM; SY-END; SY-CHR; PO-EEE; PO-GEN; FR-FIL (línea filogenética),F0,"In: experience_feed, drift_signals. Out: gene_proposal, canary_plan, heredity_map.",Propuestas válidas ≥ 95 % · rollback 0 fallas · SLA canary ≥ 99 %,genome.yml; heredity_policy.yml; proposal_runner.log; canary_audit.ndjson; rep_lineage.hash,Rollback ético y funcional por “mutación peligrosa”; freeze de canary ante breach de SCI<0.9 o score ético <0.75.,Evolution Manager + QA-ÉTICO + PO-CICD,Integrar con ledger de SY-IMM para autorización previa de mutaciones; formalizar genome.yml como artefacto raíz; vincular canary_audit con PO-LOG.,IM-REP-001 “Declarar genome.yml como contrato genético único y trazable.” IM-REP-002 “Crear ledger genético append-only (rep_lineage.hash) y vincularlo a FR-FIL.” IM-REP-003 “Definir puente umbilical (umbilical_bridge.yml) para genes importados de agentes externos (verificados por QA-ÉTICO).”,VERDADERO
Memoria Evolutiva,SY-REP.MEM,Submódulo,SY-REP (Sistema Reproductor Evolutivo),"SY-IMM (ética), FR-FIL (filogenia), PO-GEN (gobernanza genética)",F0,"In: gene_proposal.json, rep_lineage.hash, imm_events.ndjson.Out: mem_trace.yml, heredity_index.json, audit_lineage.json.",SCI ≥ 0.9 · coherencia hash ≥ 99 %.,"mem_trace.yml, evo_memory.db, filogenic_memory.hash.",mem_checkpoint.yml (rollback de estado),Evolution Memory Keeper + QA-ÉTICO,Normalizar rep_lineage.hash con FR-FIL y crear índice de herencia (heredity_index.json).,"IM-REP-001: Declarar mem_trace.yml como ledger de herencia universal.IM-REP-002: Establecer audit_lineage.json como evidencia verificable entre SY-REP ↔ SY-IMM.IM-REP-003: Firmar toda memoria heredada con ethical_signature (hash dual IMM + REP).IM-REP-004: Implementar comparación entre mutation_log y mutation_memory con QA-ÉTICO; discrepancia > 5 % = freeze.IM-REP-005: Enlazar mem_lineage.yml al ledger de FR-FIL y mantener offspring_trace.db append-only.IM-REP-006: Convertir filogenic_memory.hash en raíz de verificación cruzada entre SY-REP y FR-FIL.IM-REP-007: Automatizar rollback_trace.yml bajo PO-EEE.
IM-REP.MEM-001: Modificar — Establecer contrato operativo-representacional con SY-NSC.MEM (digest, hash y causalidad compartida).",VERDADERO
